"date","CS","A.fuchs","N3","N7","coag.N3","coag.N7","N3.diff","N7.diff","J3","J7","Cv","Q"
2016-10-02 03:00:00,0.0008552,14.5656324,14.5664877,0.0006427,4.28706007660589e-05,1.60765832586729e-05,-0.8489018,0.8378109,0.000388681052014297,0.000234890342003394,21509000,18394.4968
2016-10-02 04:00:00,0.0006961,11.8559447,13.7175859,0.8384536,3.48950247816343e-05,1.3085722177692e-05,-0.865831399999999,1.5191732,0.000478476352771919,0.000601746206076819,21509000,14972.4149
2016-10-02 05:00:00,0.0006404,10.9071371,12.8517545,2.3576268,3.21028212471751e-05,1.20386388199885e-05,-7.7585123,-1.8430012,-0.0013384086447267,-0.000224430051440808,21509000,13774.3636
2016-10-02 06:00:00,0.0002985,5.0846902,5.0932422,0.5146256,1.4963604219678e-05,5.61138926884223e-06,2.7481653,4.354331,0.000869230349017429,0.00138013662324987,21509000,6420.4365
2016-10-02 07:00:00,0.0002924,4.981429,7.8414075,4.8689566,1.46578153227264e-05,5.49671766234328e-06,-4.366647,-4.8278088,-0.000331882590953092,-0.000925217025884597,21509000,6289.2316
2016-10-02 08:00:00,0.000204,3.4744983,3.4747605,0.0411478,1.02263827832975e-05,3.83491929930926e-06,0.1454426,0.1412738,7.7370598244949e-05,7.65967426590108e-05,21509000,4387.836
2016-10-02 09:00:00,0.0002124,3.618599,3.6202031,0.1824216,1.0647469133198e-05,3.99282774104553e-06,6.6284334,0.6101801,0.00188885568777705,0.000248458523302824,21509000,4568.5116
2016-10-02 10:00:00,0.0004261,7.2582975,10.2486365,0.7926017,2.13601063919758e-05,8.01009369331214e-06,-2.7979443,-0.7604466,-0.00020840357002898,-7.38162220242993e-05,21509000,9164.9849
2016-10-02 11:00:00,0.0004373,7.4502033,7.4506922,0.0321551,2.19215548585098e-05,8.22063828229383e-06,-0.838226399999999,0.4965356,-6.83529824121621e-05,0.000164822223154364,21509000,9405.8857
2016-10-02 12:00:00,0.0003274,5.577874,6.6124658,0.5286907,1.64123417806451e-05,6.15466950291104e-06,0.626114599999999,2.2864574,0.000373655255875204,0.000797208615624985,21509000,7042.0466
2016-10-02 13:00:00,0.0003988,6.7949505,7.2385804,2.8151481,1.99915757547992e-05,7.49689125766928e-06,1.3805885,-2.2409221,0.000809716218562694,-0.000237479795958955,21509000,8577.7892
2016-10-02 14:00:00,0.0003999,6.8143635,8.6191689,0.574226,2.00467180149052e-05,7.51756974408713e-06,-1.3573257,-0.0847709,2.20119283614114e-06,7.84357518510904e-05,21509000,8601.4491
2016-10-02 15:00:00,0.0004257,7.2535945,7.2618432,0.4894551,2.13400546610282e-05,8.00257424370565e-06,1.1911429,1.2203676,0.000514272114161149,0.000489928839040599,21509000,9156.3813
2016-10-02 16:00:00,0.000475,8.0946432,8.4529861,1.7098227,2.38114305003251e-05,8.92934640770539e-06,7.1649342,0.7873725,0.0023748010668737,0.000454883363072947,21509000,10216.775
2016-10-02 17:00:00,0.000908,15.4691843,15.6179203,2.4971952,4.55174292511477e-05,1.70691506067295e-05,-1.736419,-0.3789908,0.000420498250569202,0.000422303044713202,21509000,19530.172
2016-10-02 18:00:00,0.0008053,13.7193624,13.8815013,2.1182044,4.03691473303406e-05,1.51385319202635e-05,3.2980843,-0.4957201,0.00164520522663213,0.000295230946520265,21509000,17321.1977
2016-10-02 19:00:00,0.0010037,17.100106,17.1795856,1.6224843,5.03148058803711e-05,1.88681789250819e-05,-2.3285882,-0.2420053,0.000339266661027552,0.000264711432617203,21509000,21588.5833
2016-10-02 20:00:00,0.0007983,13.6017054,14.8509974,1.380479,4.00182420387568e-05,1.50069415521499e-05,1.8021287,-0.3409769,0.00134987192388682,9.39956066947481e-05,21509000,17170.6347
2016-10-02 21:00:00,0.0009739,16.5933774,16.6531261,1.0395021,4.88209519247717e-05,1.83079799293985e-05,4.0532336,3.3510733,0.00202012842066971,0.00112408837108337,21509000,20947.6151
2016-10-02 22:00:00,0.0011518,19.6201396,20.7063597,4.3905754,5.77389592637356e-05,2.16522551418844e-05,12.3885308,-0.896067200000001,0.00512123505185744,0.000430615138224925,21509000,24774.0662
2016-10-02 23:00:00,0.0018599,31.6805617,33.0948905,3.4945082,9.32355359737991e-05,3.49635608077711e-05,-4.2299126,-1.7916929,0.00237441467403947,6.82461543006574e-06,21509000,40004.5891
2016-10-03 00:00:00,0.0015654,26.666539,28.8649779,1.7028153,7.84724490635976e-05,2.94273660349937e-05,0.887154000000002,-1.6017242,0.00287824796214629,-0.00011165397677969,21509000,33670.1886
2016-10-03 01:00:00,0.0017463,29.7500058,29.7521319,0.1010911,8.75408443846687e-05,3.28280371195283e-05,16.7106031,-0.0980031,0.00725070513321448,3.44991901610317e-05,21509000,37561.1667
2016-10-03 02:00:00,0.0027273,46.460007,46.462735,0.003088,0.000136717714533761,5.12694872794419e-05,4.03251610000001,0.3192027,0.00747249374720168,9.645208816283e-05,21509000,58661.4957
2016-10-03 03:00:00,0.0028764,48.998367,50.4952511,0.3222907,0.000144191997244495,5.40723621202606e-05,2.3039225,3.550548,0.00806826973149905,0.00109525172791061,21509000,61868.4876
2016-10-03 04:00:00,0.0029081,49.5365247,52.7991736,3.8728387,0.000145781096922095,5.46682785015748e-05,-4.8390038,-0.9538322,0.00704410238169647,0.00027611968110161,21509000,62550.3229
2016-10-03 05:00:00,0.0028068,47.8079103,47.9601698,2.9190065,0.000140702996059605,5.27639778887316e-05,-2.3842932,-2.9190014,0.00630772898738738,-0.000136080388076936,21509000,60371.4612
2016-10-03 06:00:00,0.0026756,45.573201,45.5758766,5.1e-06,0.000134126028308778,5.02975984178032e-05,-3.51994970000001,2.8845495,0.00513514756400732,0.000801320275753863,21509000,57549.4804
2016-10-03 07:00:00,0.0024551,41.8177275,42.0559269,2.8845546,0.000123072511623891,4.61525018222263e-05,-2.99934629999999,-0.7345371,0.00458895010926763,0.000340781797891145,21509000,52806.7459
2016-10-03 08:00:00,0.0022893,38.9915524,39.0565806,2.1500175,0.000114761069146093,4.30356899603367e-05,-2.887039,1.2664403,0.003821109299416,0.000980093557580965,21509000,49240.5537
2016-10-03 09:00:00,0.0020391,34.7315315,36.1695416,3.4164578,0.000102218711438343,3.8332274231478e-05,-12.8051854,-0.5295959,0.000603433471153645,0.000305749971039872,21509000,43859.0019
2016-10-03 10:00:00,0.0013369,22.7713583,23.3643562,2.8868619,6.7017897759757e-05,2.5131880447287e-05,9.4699432,-2.4987892,0.00448946261343692,-0.000177124931166928,21509000,28755.3821
2016-10-03 11:00:00,0.0018113,30.8555726,32.8342994,0.3880727,9.07992506636606e-05,3.40499476805827e-05,18.1004557,0.2672299,0.00821874515860017,0.000178242367353485,21509000,38959.2517
2016-10-03 12:00:00,0.0028923,49.2637432,50.9347551,0.6553026,0.000144989053549664,5.43712602421185e-05,-3.656862,-0.4149959,0.00660729644917734,-4.98253840202853e-05,21509000,62210.4807
2016-10-03 13:00:00,0.0027757,47.2732675,47.2778931,0.2403067,0.000139143973978426,5.21793406818271e-05,-13.342238,1.2402187,0.00288426628920564,0.000457971831347981,21509000,59702.5313
2016-10-03 14:00:00,0.0019826,33.7657983,33.9356551,1.4805254,9.93864044419883e-05,3.72701519745615e-05,-9.8833121,-1.0097509,0.000763296637633536,-5.76376938146817e-06,21509000,42643.7434
2016-10-03 15:00:00,0.0014115,24.0418421,24.052343,0.4707745,7.07575455814922e-05,2.65342577988972e-05,1.7264084,-0.2481252,0.00221009391303919,8.04050204203691e-05,21509000,30359.9535
2016-10-03 16:00:00,0.0015134,25.7761649,25.7787514,0.2226493,7.58657240404041e-05,2.84498375861502e-05,-7.7926693,1.2295114,-0.000198785738098087,0.000457847989340337,21509000,32551.7206
2016-10-03 17:00:00,0.0010461,17.8174559,17.9860821,1.4521607,5.24402893608211e-05,1.96652405833697e-05,-2.1497124,-1.4521222,0.000480900087499819,-0.000182379245954897,21509000,22500.5649
2016-10-03 18:00:00,0.0009296,15.8354401,15.8363697,3.85e-05,4.66002227223204e-05,1.74752008854799e-05,1.8930139,2.5797255,0.00126381611652189,0.000716856888281345,21509000,19994.7664
2016-10-03 19:00:00,0.0010143,17.277769,17.7293836,2.579764,5.08461767504836e-05,1.90674443396538e-05,0.225190800000004,-0.6707311,0.00122482102991106,0.000188601903701665,21509000,21816.5787
2016-10-03 20:00:00,0.0010484,17.8562824,17.9545744,1.9090329,5.25555868137701e-05,1.9708477418607e-05,3.6574304,0.4158387,0.00210488798636127,0.00048499509277325,21509000,22550.0356
2016-10-03 21:00:00,0.0010907,18.576953,21.6120048,2.3248716,5.46760573614832e-05,2.05036592144932e-05,-4.7765917,-1.5292858,0.00036233281240534,-0.000140617315273924,21509000,23459.8663
2016-10-03 22:00:00,0.0009866,16.8041006,16.8354131,0.7955858,4.94575943823594e-05,1.85467224544045e-05,-1.9775689,1.5755917,0.000340033041039815,0.000611814872424043,21509000,21220.7794
2016-10-03 23:00:00,0.0008365,14.2480451,14.8578442,2.3711775,4.19331823442567e-05,1.57250489895696e-05,3.6357582,-1.8330045,0.00189964768459505,-0.000172332470010646,21509000,17992.2785
2016-10-04 00:00:00,0.0010853,18.4829792,18.4936024,0.538173,5.44053589936901e-05,2.04021466448056e-05,4.4293015,1.7484648,0.00226813177307524,0.000672611998007942,21509000,23343.7177
2016-10-04 01:00:00,0.0013093,22.2997432,22.9229039,2.2866378,6.56343283243697e-05,2.46130384244393e-05,6.7920222,-2.2812062,0.00365238852433168,-0.000265798445063047,21509000,28161.7337
2016-10-04 02:00:00,0.0017444,29.7131793,29.7149261,0.0054316,8.74455986626674e-05,3.27923197338974e-05,29.0346125,2.1034278,0.0106637562723786,0.000593662778999978,21509000,37520.2996
2016-10-04 03:00:00,0.0032473,55.3122756,58.7495386,2.1088594,0.000162784964765696,6.10447717678773e-05,11.3587573,-1.624864,0.0132463437705158,-0.000115521506250346,21509000,69846.1757
2016-10-04 04:00:00,0.0041151,70.094979,70.1082959,0.4839954,0.000206287195056606,7.73582176891546e-05,4.32570129999999,2.8916404,0.0156936980726595,0.000965373176930416,21509000,88511.6859
2016-10-04 05:00:00,0.0041937,71.4336963,74.4339972,3.3756358,0.000210227360187817,7.88357895368297e-05,-2.8213104,0.7320998,0.0154918323803473,0.000789531724176232,21509000,90202.2933
2016-10-04 06:00:00,0.0039225,66.8150149,71.6126868,4.1077356,0.000196632286605316,7.37376027036303e-05,-19.095836,-4.0864156,0.00962440510182321,-0.000516802668135086,21509000,84369.0525
2016-10-04 07:00:00,0.0030091,51.2546822,52.5168508,0.02132,0.000150844158986375,5.65669395272132e-05,-25.5600273,2.0252651,0.000897475365150044,0.000564227106942387,21509000,64722.7319
2016-10-04 08:00:00,0.0015743,26.8113821,26.9568235,2.0465851,7.89186000771826e-05,2.95946737887381e-05,-23.4405902,-1.9587674,-0.00421603944331064,-0.000163247048459608,21509000,33861.6187
2016-10-04 09:00:00,0.0002064,3.5158415,3.5162333,0.0878177,1.03466931689834e-05,3.88003599694819e-06,14.0084834,0.5721534,0.00393095660421844,0.000225649284587169,21509000,4439.4576
2016-10-04 10:00:00,0.0009362,15.9446444,17.5247167,0.6599711,4.69310762829565e-05,1.75992718039869e-05,-8.7301436,1.5166669,-0.00137583628225677,0.000500960394313343,21509000,20136.7258
2016-10-04 11:00:00,0.0004353,7.4156984,8.7945731,2.176638,2.18212962037716e-05,8.18304103426138e-06,-5.1745692,-1.7031143,-0.000928934882899178,-3.37015135264896e-05,21509000,9362.8677
2016-10-04 12:00:00,0.0002119,3.6115514,3.6200039,0.4735237,1.06224044695134e-05,3.98342842903742e-06,1.6325092,-0.4328452,0.000519795815884794,3.45069970739586e-05,21509000,4557.7571
2016-10-04 13:00:00,0.0003082,5.2521524,5.2525131,0.0406785,1.54498586951583e-05,5.79373592179958e-06,3.6052858,0.5080677,0.00108398648560613,0.000184158029583917,21509000,6629.0738
2016-10-04 14:00:00,0.0003938,6.7108831,8.8577989,0.5487462,1.97409291179537e-05,7.40289813758817e-06,0.8100649,-0.5482374,0.000634047597239877,-9.67601472245583e-06,21509000,8470.2442
2016-10-04 15:00:00,0.0005673,9.6672965,9.6678638,0.0005088,2.84383674164935e-05,1.06644594044027e-05,-1.6769905,0.3746588,-0.000190882052122984,0.000105802396076945,21509000,12202.0557
2016-10-04 16:00:00,0.0004687,7.9858518,7.9908733,0.3751676,2.34956157378997e-05,8.81091507640319e-06,7.1445797,-0.3736645,0.00219291790180038,3.37072826407958e-05,21509000,10081.2683
2016-10-04 17:00:00,0.0008883,15.1345644,15.135453,0.0015031,4.45298815019763e-05,1.66988177136099e-05,10.8810269,0.0149902,0.00369652002190206,8.49750603457199e-06,21509000,19106.4447
2016-10-04 18:00:00,0.001527,26.0149441,26.0164799,0.0164933,7.65474828926239e-05,2.87054988727708e-05,-5.1627084,0.3492146,0.000557869477571544,0.000124506994654558,21509000,32844.243
2016-10-04 19:00:00,0.0012241,20.8501613,20.8537715,0.3657079,6.13633096325219e-05,2.30113956582572e-05,6.3063164,1.2164508,0.00304882498610203,0.00053032333230725,21509000,26329.1669
2016-10-04 20:00:00,0.0014309,24.3674169,27.1600879,1.5821587,7.17300545324529e-05,2.68989511048119e-05,-18.3359874,0.183996,-0.00269309651875734,0.00019490359041413,21509000,30777.2281
2016-10-04 21:00:00,0.0005142,8.7578954,8.8241005,1.7661547,2.5776500133194e-05,9.66625246914129e-06,34.6076177,1.0308066,0.0099594559697969,0.000760055021674205,21509000,11059.9278
2016-10-04 22:00:00,0.0025442,43.3273231,43.4317182,2.7969613,0.000127539034692478,4.78274592220717e-05,49.4025931,-0.8220428,0.0194547803182915,0.000565917502104796,21509000,54723.1978
2016-10-04 23:00:00,0.0053386,90.9136533,92.8343113,1.9749185,0.000267620427092706,0.000100358334173002,-33.3042972,-0.7852046,0.0159200959607688,0.000472890091690222,21509000,114827.9474
2016-10-05 00:00:00,0.0034919,59.4698638,59.5300141,1.1897139,0.000175046598240179,6.56429152022452e-05,-31.8796284,-0.8561396,0.00165021142299212,0.000162068132402632,21509000,75107.2771
2016-10-05 01:00:00,0.0016234,27.6473766,27.6503857,0.3335743,8.13799500510057e-05,3.05176862279346e-05,-19.3837731,-0.0997084,-0.00311969719305129,0.000178774906584992,21509000,34917.7106
2016-10-05 02:00:00,0.0004852,8.2654983,8.2666126,0.2338659,2.43227496394899e-05,9.12109237267085e-06,-0.6193647,0.701828,3.82646025947862e-05,0.000364391185393384,21509000,10436.1668
2016-10-05 03:00:00,0.0002918,4.971998,7.6472479,0.9356939,1.4627737726305e-05,5.48543848793354e-06,1.7921497,-0.2823826,0.00090484266056757,0.000123218353554207,21509000,6276.3262
2016-10-05 04:00:00,0.0003437,5.8577573,9.4393976,0.6533113,1.72294498167615e-05,6.46108707437546e-06,0.9145463,3.6233378,0.000727503797666326,0.00120741634105708,21509000,7392.6433
2016-10-05 05:00:00,0.0005909,10.0678592,10.3539439,4.2766491,2.96214195424044e-05,1.11081069311855e-05,-1.6676306,-3.5957991,0.000180456366319308,-0.000163378864351153,21509000,12709.6681
2016-10-05 06:00:00,0.0005089,8.6708297,8.6863133,0.68085,2.55108146981377e-05,9.56661976185531e-06,9.6682024,2.1116375,0.00294856648150627,0.000827490435842637,21509000,10945.9301
2016-10-05 07:00:00,0.0008271,14.0886081,18.3545157,2.7924875,4.14619666669871e-05,1.55483419238171e-05,-2.3738622,-2.7892418,0.000745546300850424,-0.000484549917309792,21509000,17790.0939
2016-10-05 08:00:00,0.0009382,15.9797145,15.9806535,0.0032457,4.70313349376947e-05,1.76368690520194e-05,-4.7017605,0.6347237,-0.000554376502232146,0.000183945450583104,21509000,20179.7438
2016-10-05 09:00:00,0.0006612,11.2630586,11.278893,0.6379694,3.31455112564525e-05,1.24296501995259e-05,1.5330113,1.1352153,0.000840109432114045,0.000491634207035557,21509000,14221.7508
2016-10-05 10:00:00,0.0007406,12.614644,12.8119043,1.7731847,3.71257798495594e-05,1.39222609464139e-05,-2.3164254,-1.7406217,-7.07053893513203e-06,-0.0001804681437893,21509000,15929.5654
2016-10-05 11:00:00,0.0005168,8.8037228,10.4954789,0.032563,2.59068363843537e-05,9.71512889158346e-06,-1.41501,-0.0314653,-3.61682485567075e-05,1.11848238115411e-05,21509000,11115.8512
2016-10-05 12:00:00,0.0005329,9.0799359,9.0804689,0.0010977,2.67139185549963e-05,1.00177867382446e-05,-1.9708944,0.3766404,-0.000304871065239224,0.000107459373468947,21509000,11462.1461
2016-10-05 13:00:00,0.000306,5.2130826,7.1095745,0.3777381,1.53395741749462e-05,5.75237894896389e-06,-2.9487636,-0.3131957,-0.00049274982314661,-4.22400226525606e-05,21509000,6581.754
2016-10-05 14:00:00,0.0002442,4.1604303,4.1608109,0.0645424,1.22415817435355e-05,4.59062398476138e-06,-2.2516403,-0.0639391,-0.000572085291442701,3.2665038153363e-05,21509000,5252.4978
2016-10-05 15:00:00,0.000112,1.9090586,1.9091706,0.0006033,5.6144846653398e-06,2.10544588981685e-06,-0.4621575,0.0046732,-0.000117646015803893,3.45967952106088e-06,21509000,2409.008
2016-10-05 16:00:00,8.49e-05,1.4469259,1.4470131,0.0052765,4.25597989363705e-06,1.59600317897724e-06,2.226633,0.5906562,0.000624808663659429,0.000173371164157996,21509000,1826.1141
2016-10-05 17:00:00,0.0002151,3.6639075,3.6736461,0.5959327,1.07828183170946e-05,4.04358402588932e-06,-1.6410869,1.1549119,-0.000381633157306286,0.000502738688668447,21509000,4626.5859
2016-10-05 18:00:00,8.56e-05,1.4583829,2.0325592,1.7508446,4.29107042279542e-06,1.60916221578859e-06,6.5268747,0.0824426,0.00204461284869348,0.000176694766587149,21509000,1841.1704
2016-10-05 19:00:00,0.000486,8.2798852,8.5594339,1.8332872,2.43628531013852e-05,9.13613127188383e-06,12.8370831,-1.6282639,0.00395440907768116,-0.000180364931578958,21509000,10453.374
2016-10-05 20:00:00,0.0011697,19.9242047,21.396517,0.2050233,5.86362742236426e-05,2.19887505117747e-05,24.3129617,1.6679894,0.00814708953164561,0.000525039757026134,21509000,25159.0773
2016-10-05 21:00:00,0.0025647,43.6851705,45.7094787,1.8730127,0.000128566685903545,4.82128310144042e-05,10.3844617,0.6765378,0.00911008011799044,0.000533256588681822,21509000,55164.1323
