,date,NH3,NH4,HNO3,SO4,SO2,day.type,pressure,RH,temperature,SWD,pm10,pm25,CS
0,2016/10/01,0.087002063,0.017455558,0.052366674,0.076251364,0.022875409,Non,932.3874999999999,76.54166666666667,-0.7083333333333334,6.335375,0.713293538899351,0.713293538899351,0.00036075
1,2016/10/02,0.104402475,0.017455558,0.052366674,0.038125682,0.061001092,Non,938.4083333333333,89.1375,-3.283333333333333,7.197916666666667,1.10419136508828,1.10419136508828,0.0003422
2,2016/10/03,0.382809076,0.034911116,0.052366674,0.167753002,0.022875409,Non,954.25,87.90833333333335,-6.870833333333334,9.390291666666666,2.94099473986341,2.94099473986341,0.0021148
3,2016/10/04,0.348008251,0.017455558,0.052366674,0.038125682,0.022875409,Non,956.1291666666666,88.48333333333333,-0.9874999999999999,5.154125,2.60070458953063,2.60070458953063,0.0004403
4,2016/10/05,0.330607838,0.017455558,0.052366674,0.015250273,0.022875409,Non,944.225,92.01666666666667,1.2166666666666666,4.027083333333334,1.44083638109929,1.44083638109929,0.0006546
5,2016/10/06,0.261006188,0.017455558,0.052366674,0.007625136,0.022875409,Non,960.5791666666668,76.33749999999999,-1.2,10.647916666666667,5.56460635536306,5.56460635536306,0.0041349
6,2016/10/07,0.365408663,0.017455558,0.052366674,0.015250273,0.022875409,Non,948.5958333333333,89.54166666666667,0.8166666666666668,4.559666666666667,10.6747316959445,10.6747316959445,0.01023695
7,2016/10/08,0.400209489,0.017455558,0.052366674,0.068626228,0.022875409,Non,962.225,78.7625,-1.3583333333333334,5.703375,9.01668693667148,9.01668693667148,0.00443125
8,2016/10/09,0.382809076,0.017455558,0.052366674,0.015250273,0.022875409,Non,961.2916666666666,88.8,0.75,2.3901666666666666,4.73059202998674,4.73059202998674,0.0011862
9,2016/10/10,0.104402475,0.017455558,0.052366674,0.022875409,0.022875409,Non,952.8791666666666,92.17916666666667,1.9458333333333335,3.1382499999999998,4.32825635334263,4.32825635334263,0.0018564
10,2016/10/11,0.261006188,0.017455558,0.052366674,0.045750819,0.022875409,Non,945.4666666666667,90.47500000000001,1.8208333333333335,2.9922916666666666,1.20783075475905,1.20783075475905,0.0011189
11,2016/10/12,0.626414852,0.017455558,0.052366674,0.038125682,0.022875409,Non,952.6333333333333,91.30833333333334,-1.8208333333333335,3.875,0.796810519584013,0.796810519584013,0.000631
12,2016/10/13,0.208804951,0.017455558,0.052366674,0.007625136,0.038125682,Non,958.2208333333333,89.55833333333334,-3.1958333333333333,3.840958333333333,0.827125158218372,0.827125158218372,0.0004814
13,2016/10/14,0.261006188,0.017455558,0.052366674,0.030500546,0.022875409,Non,947.3083333333334,91.1375,1.1875,0.8375,2.71011782464463,2.71011782464463,0.002587811824154066
14,2016/10/15,0.208804951,0.017455558,0.052366674,0.007625136,0.030500546,Non,943.9458333333333,90.2,-6.008333333333333,1.8327083333333334,6.59401830245276,6.59401830245276,0.004815493074427948
15,2016/10/16,0.417609901,0.017455558,0.052366674,0.015250273,0.022875409,Non,954.0875,87.44166666666666,-6.7124999999999995,2.7464999999999997,8.21580519662792,8.21580519662792,0.0051012
16,2016/10/17,0.191404538,0.017455558,0.052366674,0.015250273,0.022875409,Non,953.3625000000001,91.45416666666667,-1.9333333333333333,1.8229166666666667,1.32834897143607,1.32834897143607,0.0003048
17,2016/10/18,0.191404538,0.017455558,0.052366674,0.015250273,0.12962732,Non,952.0291666666667,91.97083333333335,1.2375,0.6673333333333334,5.68600685925856,5.68600685925856,0.00429468671530636
18,2016/10/19,0.208804951,0.157100021,0.052366674,0.23637923,0.022875409,Non,948.8125,91.79166666666667,1.9291666666666665,0.5992916666666667,3.8894388811634,3.8894388811634,0.0032642327110102287
19,2016/10/20,0.087002063,0.069822232,0.052366674,0.10675191,0.030500546,Non,946.5583333333334,92.58333333333333,2.620833333333333,0.282625,1.4163215939923,1.4163215939923,0.0018457316341061066
20,2016/10/21,0.121802888,0.034911116,0.052366674,0.045750819,0.022875409,Non,945.0541666666667,93.15416666666665,2.0375,0.2770416666666667,4.38335432621155,4.38335432621155,0.0035475268331025094
21,2016/10/22,0.087002063,0.017455558,0.052366674,0.015250273,0.022875409,Non,958.7624999999999,92.50833333333333,-1.6875,0.9590000000000001,1.23197954394412,1.23197954394412,0.001739998922653847
22,2016/10/23,0.156603713,0.017455558,0.052366674,0.022875409,0.022875409,Non,962.4,90.85000000000001,1.5250000000000001,0.2520833333333333,8.03635412973168,8.03635412973168,0.005642770832286668
23,2016/10/24,0.174004125,0.017455558,0.052366674,0.144877592,0.022875409,Non,959.0749999999999,84.03333333333333,1.2625,0.29516666666666663,12.2754253832933,12.2754253832933,0.008074166694279385
24,2016/10/25,0.087002063,0.017455558,0.052366674,0.007625136,0.022875409,Non,950.3375,74.60000000000001,0.008333333333333337,0.411125,5.57302926808867,5.57302926808867,0.004229886377865092
25,2016/10/26,0.104402475,0.017455558,0.052366674,0.083876501,0.022875409,Non,943.8958333333334,85.89166666666667,1.1375,0.179875,1.49130096565628,1.49130096565628,0.0018887374066194713
26,2016/10/27,0.087002063,0.017455558,0.034911116,0.038125682,0.015250273,undefined,946.1208333333334,73.67916666666666,1.8875,-0.04579166666666667,12.9072921943916,12.9072921943916,0.00843658531334462
27,2016/10/28,0.087002063,0.017455558,0.052366674,0.038125682,0.022875409,undefined,954.8583333333332,66.14583333333333,-0.09166666666666667,-0.02704166666666666,0.0,0.0,0.0010333748094855013
