,adbc_regular,adbc_tuned,ensemble_regular_rfc_adbc,ensemble_regular_rfc_xgbc,ensemble_tuned_rfc_adbc,ensemble_tuned_rfc_xgbc,gbc_regular,gbm_tuned,lrc_regular,lrc_tuned,mlpc_tuned,rfc_regular,rfc_tuned,svc_regular,svc_tuned,xgbc_regular,xgbc_tuned,k_means,knn,nb
Combination 1,0.627342058,0.627342058,0.703985412,0.669489468,0.679241252,0.593324585,0.675523934,0.688374736,0.606092706,0.605282927,0.602100037,0.699571399,0.64345709,0.597071334,0.597071334,0.65744322,0.66531263,0.527815279,0.661555442,0.608224696
Combination 2,0.631132391,0.631132391,0.638841034,0.651608715,0.659021398,0.654562687,0.684457075,0.675408718,0.599958742,0.598813572,0.567514453,0.676195972,0.675888915,0.599657815,0.599657815,0.665512593,0.671477852,0.460559151,0.657076998,0.657470972
Combination 3,0.635844726,0.711382609,0.661594402,0.588571767,0.668413887,0.664952247,0.690201456,0.683965905,0.603346976,0.60634992,0.599420211,0.691236855,0.679367329,0.606381389,0.606381389,0.688840787,0.678910547,0.529631363,0.649884648,0.649861426
