,adbc_regular,adbc_tuned,ensemble_regular_rfc_adbc,ensemble_regular_rfc_xgbc,ensemble_tuned_rfc_adbc,ensemble_tuned_rfc_xgbc,gbc_regular,gbm_tuned,lrc_regular,lrc_tuned,mlpc_tuned,rfc_regular,rfc_tuned,svc_regular,svc_tuned,xgbc_regular,xgbc_tuned,k_means,knn,nb
Combination 1,0.625003814,0.625003814,0.712402746,0.709771167,0.695827613,0.694935164,0.686193745,0.698413425,0.705362319,0.704492754,0.69317315,0.702776506,0.698413425,0.695797101,0.695797101,0.666125095,0.676598017,0.34597254,0.688817696,0.679992372
Combination 2,0.62761251,0.62761251,0.687955759,0.693180778,0.690572082,0.699305873,0.700122044,0.694080854,0.698367658,0.697490465,0.678360031,0.700190694,0.69928299,0.696659039,0.696659039,0.677467582,0.687070938,0.279511823,0.694050343,0.467467582
Combination 3,0.634584287,0.709847445,0.695812357,0.694065599,0.695827613,0.699321129,0.703684211,0.708047292,0.700983982,0.705362319,0.69136537,0.700160183,0.704553776,0.701014493,0.701014493,0.700167811,0.700122044,0.320190694,0.695812357,0.370633105
